model,rmse,r2,run_time_utc
LinearRegression,48346.728425584806,-0.9080866526181635,2025-10-29T07:55:03.590064
RandomForest,199821.63296300027,-31.594844897959184,2025-10-29T07:55:03.590064
XGBoost,202237.4582118753,-32.38774871826172,2025-10-29T07:55:03.590064
LinearRegression,48346.728425584806,-0.9080866526181635,2025-10-29T07:58:19.237360
RandomForest,199821.63296300027,-31.594844897959184,2025-10-29T07:58:19.237360
XGBoost,202237.4582118753,-32.38774871826172,2025-10-29T07:58:19.237360
LinearRegression,48346.728425584806,-0.9080866526181635,2025-10-29T08:23:47.114049+00:00
RandomForest,199821.63296300027,-31.594844897959184,2025-10-29T08:23:47.114049+00:00
XGBoost,202237.4582118753,-32.38774871826172,2025-10-29T08:23:47.114049+00:00
LinearRegression,48346.728425584806,-0.9080866526181635,2025-10-29T08:25:36.369097+00:00
RandomForest,199821.63296300027,-31.594844897959184,2025-10-29T08:25:36.369097+00:00
XGBoost,202237.4582118753,-32.38774871826172,2025-10-29T08:25:36.369097+00:00
LinearRegression,48346.728425584806,-0.9080866526181635,2025-10-29T08:50:06.229292+00:00
RandomForest,199821.63296300027,-31.594844897959184,2025-10-29T08:50:06.229292+00:00
XGBoost,202237.4582118753,-32.38774871826172,2025-10-29T08:50:06.229292+00:00
